Sprint Day	Date	Task ID	Assigned To	Module	Task	What it means (simple words)	Priority	Est. Hours	Status
Day 1	16/07/2026	DSK-101	Ram	Setup	Confirm the app starts	Open the code and run the app on your own PC. Make sure a blank app window opens before building anything on top of it.	P0	0.5	To Do
Day 1	16/07/2026	DSK-102	Ram	Setup	Check all tools work	Make sure Electron, React and the build tools are installed and a test build finishes with no errors.	P0	0.5	To Do
Day 1	16/07/2026	DSK-103	Ram	Setup	Connect to the online database	Put the Supabase web address and key into the app so it can talk to the shared online database.	P0	0.5	To Do
Day 1	16/07/2026	DSK-104	Ram	Setup	Prove the connection works	Run one small test to confirm the app can actually reach the database and read data.	P0	0.5	To Do
Day 1	16/07/2026	DSK-105	Ram	Layout	Set up the app window	Give the window a title (Siddesh ERP), an icon, a sensible size, and make it open maximised.	P1	0.5	To Do
Day 1	16/07/2026	DSK-106	Ram	Layout	Build the main screen frame	Create the outer shell: a menu strip on the left, a bar across the top, and the main working area in the middle.	P0	1	To Do
Day 1	16/07/2026	DSK-107	Ram	Layout	Add the side menu	Add menu buttons: Dashboard, Products, Inward, Outward, Stock, Reports.	P0	0.5	To Do
Day 1	16/07/2026	DSK-108	Ram	Layout	Make menu buttons open pages	Clicking a menu button should open the correct page inside the app.	P0	0.5	To Do
Day 1	16/07/2026	DSK-109	Ram	Login	Design the login screen	Build the login page with a username box, a password box, and a Login button.	P0	0.75	To Do
Day 1	16/07/2026	DSK-110	Ram	Login	Make login actually work	Connect login to the database so correct details let the user in and wrong details show a clear error.	P0	1	To Do
Day 1	16/07/2026	DSK-111	Ram	Login	Stay logged in	Remember the user so they don't have to log in again every time they open the app.	P0	0.5	To Do
Day 1	16/07/2026	DSK-112	Ram	Login	Add a logout button	Put a Logout button in the top bar that safely signs the user out.	P1	0.25	To Do
Day 1	16/07/2026	DSK-113	Ram	Login	Show who is logged in	Display the logged-in person's name and role in the top bar.	P1	0.25	To Do
Day 1	16/07/2026	DSK-114	Ram	Login	Lock pages when logged out	If nobody is logged in, always show the login screen first and hide the rest of the app.	P0	0.5	To Do
Day 1	16/07/2026	DSK-115	Ram	UI Basics	Add a loading spinner	Show a spinner whenever the app is waiting on the database, so it never looks frozen.	P1	0.5	To Do
Day 1	16/07/2026	DSK-116	Ram	UI Basics	Standard error message box	Build one reusable red message box to show problems politely everywhere in the app.	P1	0.5	To Do
Day 1	16/07/2026	DSK-117	Ram	UI Basics	Standard success message	Build one reusable green "Saved!" popup used after every successful action.	P1	0.5	To Do
Day 1	16/07/2026	DSK-118	Ram	UI Basics	Set app colours and fonts	Decide the standard colours, fonts and button styles so every screen looks the same.	P1	0.75	To Do
Day 1	16/07/2026	DSK-119	Ram	UI Basics	Reusable table style	Build one table design used everywhere (products, reports, stock), so they all match.	P1	1	To Do
Day 1	16/07/2026	DSK-120	Ram	UI Basics	Reusable form boxes	Build standard text boxes, dropdowns and a date picker used in every form.	P1	1	To Do


Day 2	17/07/2026	DSK-201	Ram	Products	Product list page	Build a page that shows all products in a table: name, category, barcode and current stock.	P0	1	To Do
Day 2	17/07/2026	DSK-202	Ram	Products	Load products from database	Fetch the real product list from the database and fill the table with it.	P0	0.75	To Do
Day 2	17/07/2026	DSK-203	Ram	Products	Add Product button	A button that opens a blank New Product form.	P0	0.25	To Do
Day 2	17/07/2026	DSK-204	Ram	Products	New Product form	A form with every field: name, category, brand, model, unit, description, minimum stock, HSN code, GST %.	P0	1.5	To Do
Day 2	17/07/2026	DSK-205	Ram	Products	Save a new product	Save the form to the database so the new product appears in the list.	P0	1	To Do
Day 2	17/07/2026	DSK-206	Ram	Products	Check required fields	Stop saving if name, category or unit are blank, and clearly point out the missing field.	P0	0.5	To Do
Day 2	17/07/2026	DSK-207	Ram	Products	Edit an existing product	Click a product to open its form pre-filled, change details, and save the changes.	P0	1	To Do
Day 2	17/07/2026	DSK-208	Ram	Barcode	Auto-generate a barcode	When a product needs a barcode, create one automatically like ST00000001.	P0	1	To Do
Day 2	17/07/2026	DSK-209	Ram	Barcode	Use a manufacturer barcode	Allow pasting an existing barcode from the box instead of generating a new one.	P1	0.5	To Do
Day 2	17/07/2026	DSK-210	Ram	Barcode	Block duplicate barcodes	Never allow two products to share the same barcode.	P0	0.5	To Do
Day 2	17/07/2026	DSK-211	Ram	Barcode	Preview the label	Show on screen how the printed label (product name + barcode) will look.	P1	0.5	To Do
Day 2	17/07/2026	DSK-212	Ram	Barcode	Turn number into scannable barcode	Convert the barcode number into a proper scannable Code 128 barcode image.	P0	1	To Do
Day 2	17/07/2026	DSK-213	Ram	Barcode	Print one label	Send a single barcode label to the printer.	P1	1	To Do
Day 2	17/07/2026	DSK-214	Ram	Barcode	Print many labels	Choose a quantity and print several labels in one go.	P1	0.75	To Do
Day 2	17/07/2026	DSK-215	Ram	Products	Category dropdown	Provide a category picker (AI Lab, Digital Products, Office Items).	P1	0.5	To Do
Day 2	17/07/2026	DSK-216	Ram	Products	Search products	A search box to instantly find products by name, barcode or category.	P0	0.75	To Do
Day 2	17/07/2026	DSK-217	Ram	Products	Low-stock alert level	Save a "warn me below this number" level for each product.	P1	0.25	To Do
Day 2	17/07/2026	DSK-218	Ram	Products	Deactivate old products	Hide products that are no longer used without deleting their history.	P1	0.5	To Do
Day 2	17/07/2026	DSK-219	Ram	Products	Product detail view	A read-only page showing everything about one product plus its current stock.	P1	1	To Do
Day 2	17/07/2026	DSK-220	Ram	Products	Sort and filter the list	Let the user sort by name or stock and filter the list by category.	P1	0.75	To Do


Day 3	18/07/2026	DSK-301	Ram	Inward	Build the Inward page	Build the "receive stock into the store" screen.	P0	1	To Do
Day 3	18/07/2026	DSK-302	Ram	Inward	Pick the product	Scan a barcode or search to choose which product is being received.	P0	0.75	To Do
Day 3	18/07/2026	DSK-303	Ram	Inward	Auto-fill on scan	When a barcode is scanned, automatically show the product name and its current stock.	P0	0.75	To Do
Day 3	18/07/2026	DSK-304	Ram	Inward	Enter quantity received	A box to type how many units arrived (must be more than zero).	P0	0.5	To Do
Day 3	18/07/2026	DSK-305	Ram	Inward	Supplier details form	Fields for supplier name, mobile, GST, invoice number, invoice date and purchase order number.	P0	1	To Do
